Ranking,Country,Regional indicator,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year,Country_Standardized,Region_Standardized
44,Slovenia,Central and Eastern Europe,6.1177,7.46925,0.9381,75,0.8933,0.25499,0.12641,2019,Slovenia,Southern Europe
45,Nicaragua,Latin America and Caribbean,6.105,4.12021,0.81577,73,0.68852,0.35259,0.28139,2019,Nicaragua,Central America
46,Kosovo,Central and Eastern Europe,6.1,5.23937,0.75906,72,0.7754,0.46305,0.01424,2019,Kosovo,Southern Europe
47,Argentina,Latin America and Caribbean,6.0863,6.48132,0.88166,74,0.74557,0.1165,0.10978,2019,Argentina,South America
48,Romania,Central and Eastern Europe,6.0697,6.89896,0.75848,73,0.73214,0.14604,0.01056,2019,Romania,Eastern Europe
49,Cyprus,,6.0458,7.50051,0.75329,77,0.64287,0.33664,0.08973,2019,Cyprus,Western Asia
50,Ecuador,Latin America and Caribbean,6.0276,5.41414,0.80812,74,0.78813,0.2231,0.19277,2019,Ecuador,South America
51,Kuwait,Middle East and North Africa,6.0207,8.90841,0.8123,73,0.78065,0.25036,0.21516,2019,Kuwait,Western Asia
52,Thailand,Southeast Asia,6.008,6.23303,0.86769,73,0.88265,0.63442,0.06184,2019,Thailand,South-eastern Asia
53,Latvia,Western Europe,5.9397,7.04728,0.90211,73,0.41886,0.13241,0.14108,2019,Latvia,Northern Europe
54,South Korea,East Asia,5.8947,7.72522,0.75089,77,0.25236,0.30875,0.12378,2019,South Korea,Eastern Asia
55,Estonia,Western Europe,5.8935,7.34417,0.94099,74,0.78441,0.18213,0.35525,2019,Estonia,Northern Europe
56,Jamaica,Latin America and Caribbean,5.8898,4.93592,0.91008,73,0.77563,0.18897,0.06239,2019,Jamaica,Caribbean
57,Mauritius,Sub-Saharan Africa,5.8882,6.64941,0.86328,72,0.78911,0.38051,0.1315,2019,Mauritius,Eastern Africa
58,Japan,East Asia,5.8861,7.87667,0.87371,78,0.70489,0.12169,0.30974,2019,Japan,Eastern Asia
59,Honduras,Latin America and Caribbean,5.8604,3.81447,0.76135,73,0.8034,0.4342,0.17303,2019,Honduras,Central America
60,Kazakhstan,Commonwealth of Independent States,5.8088,6.96798,0.9286,71,0.64928,0.25759,0.21276,2019,Kazakhstan,Central Asia
61,Bolivia,Latin America and Caribbean,5.7793,4.60595,0.74474,71,0.81029,0.24135,0.14237,2019,Bolivia,South America
62,Hungary,Central and Eastern Europe,5.7583,7.13196,0.86823,73,0.31589,0.14246,0.04367,2019,Hungary,Eastern Europe
63,Paraguay,Latin America and Caribbean,5.7427,5.07969,0.90866,72,0.81454,0.32465,0.17726,2019,Paraguay,South America
65,Peru,Latin America and Caribbean,5.6971,5.69922,0.78446,73,0.72005,0.14743,0.0605,2019,Peru,South America
66,Portugal,Western Europe,5.6925,7.24859,0.88123,76,0.80494,0.08274,0.05515,2019,Portugal,Southern Europe
67,Pakistan,South Asia,5.653,4.01712,0.54585,68,0.49627,0.38947,0.21627,2019,Pakistan,Southern Asia
68,Russia,Commonwealth of Independent States,5.6479,7.0252,0.89451,71,0.52956,0.14501,0.06817,2019,Russia,Eastern Europe
69,Philippines,Southeast Asia,5.6314,4.79405,0.79609,70,0.88426,0.20728,0.23638,2019,Philippines,South-eastern Asia
70,Serbia,Central and Eastern Europe,5.603,5.96054,0.85176,73,0.44733,0.24171,0.08527,2019,Serbia,Southern Europe
71,Moldova,Central and Eastern Europe,5.5285,4.06975,0.8179,71,0.38855,0.31909,0.0,2019,Moldova,Eastern Europe
72,Libya,Middle East and North Africa,5.5253,6.19944,0.80267,70,0.6592,0.23451,0.3355,2019,Libya,Northern Africa
73,Montenegro,Central and Eastern Europe,5.5229,6.23809,0.83806,74,0.31198,0.25141,0.17662,2019,Montenegro,Southern Europe
74,Tajikistan,Commonwealth of Independent States,5.4673,2.92809,0.67599,71,0.61554,0.40597,0.31779,2019,Tajikistan,Central Asia
75,Croatia,Central and Eastern Europe,5.4318,6.8564,0.77959,75,0.46916,0.21106,0.04876,2019,Croatia,Southern Europe
76,Hong Kong,East Asia,5.4304,8.53871,0.78625,78,0.69644,0.45539,0.63472,2019,Hong Kong,Eastern Asia
77,Dominican Republic,Latin America and Caribbean,5.4253,6.02949,0.86316,72,0.78716,0.19959,0.224,2019,Dominican Republic,Caribbean
78,Bosnia and Herzegovina,Central and Eastern Europe,5.3865,5.61179,0.74622,73,0.33634,0.46461,0.0122,2019,Bosnia and Herzegovina,Southern Europe
79,Turkey,Middle East and North Africa,5.3726,7.02743,0.83788,73,0.30869,0.14748,0.23427,2019,Türkiye,Western Asia
80,Malaysia,Southeast Asia,5.3388,7.24775,0.72134,73,0.80502,0.45962,0.05367,2019,Malaysia,South-eastern Asia
81,Belarus,Commonwealth of Independent States,5.3225,6.33591,0.90256,72,0.37207,0.16636,0.31278,2019,Belarus,Eastern Europe
